# Migration allowances — dated, phase-owned deferrals for the artifact-policy audit.
#
# An allowance NEVER silences a finding. The audit still reports it, attributed to the
# phase whose gate must clear it, and refuses to run with a row that matches nothing:
# the list can only shrink. Every row cites the legacy register entry that records the
# same obligation with its owner and closure condition, so an allowance cannot be
# invented here without the register agreeing.
#
# Why this exists. `development_plan_standards.md` section S makes the artifact-hygiene
# postcondition universal, while `repository_layout_doctrine.md` section 3.5 gives each
# later phase its own domain tables and section 9 declares the whole tree a migration
# surface. Read together, Phase 0 owns the machinery and the shared corpora; a phase
# owns its own paths. Without this file the two readings collide and Phase 0 could only
# close after every later phase had already migrated — inverting the numeric order the
# plan is built on.
#
# Created 2026-08-12 against the Phase-0 redesign.
#
# Renumbered 2026-08-17 by the natural-architecture re-baseline. The owner column
# carries the **post**-amendment ordinal — the phase whose gate must clear the row —
# while a `tools/phaseNN_*` path glob still carries the **pre**-amendment one, because
# the tree keeps those names until each owning phase renames them for its capability
# (`legacy_tracking_for_deletion.md`, the natural-architecture rebaseline).
#
# rule<TAB>path_glob<TAB>message_glob<TAB>owner<TAB>legacy-register anchor
r5	tools/platform_services_2_gate.py	names generated path DEVELOPMENT_PLAN/evidence*	phase-56	Generated files beneath `DEVELOPMENT_PLAN/evidence/**`
r5	tools/platform_services_2_gate.py	names generated path test/enumeration/*	phase-56	`test/enumeration/**`
r5	tools/platform_services_2_gate.py	names generated path test/golden/*	phase-56	`test/golden/phase_*_ledger.json` and Phase-62 expected-run ledger
r5	tools/platform_services_2_live.py	names generated path DEVELOPMENT_PLAN/evidence*	phase-56	Generated files beneath `DEVELOPMENT_PLAN/evidence/**`
r6	tools/platform_services_2_gate.py	tracked file carries a resolved home path*	phase-56	Absolute developer-home executable paths
r6	tools/platform_services_2_live.py	tracked file pins a package integrity digest*	phase-56	Hard-coded library/package SHA values
r5	tools/keycloak_ingress_gate.py	names generated path DEVELOPMENT_PLAN/evidence*	phase-58	Generated files beneath `DEVELOPMENT_PLAN/evidence/**`
r5	tools/keycloak_ingress_gate.py	names generated path test/enumeration/*	phase-58	`test/enumeration/**`
r5	tools/keycloak_ingress_gate.py	names generated path test/golden/*	phase-58	`test/golden/phase_*_ledger.json` and Phase-62 expected-run ledger
r5	tools/keycloak_ingress_live.py	names generated path DEVELOPMENT_PLAN/evidence*	phase-58	Generated files beneath `DEVELOPMENT_PLAN/evidence/**`
r5	tools/keycloak_ingress_rebind_regression.py	names generated path DEVELOPMENT_PLAN/evidence*	phase-58	Generated files beneath `DEVELOPMENT_PLAN/evidence/**`
r6	test/fixture/live/keycloak_ingress/rebind-kind.yaml	tracked file carries a resolved home path*	phase-58	Absolute developer-home executable paths
r6	tools/keycloak_ingress_gate.py	tracked file carries a resolved home path*	phase-58	Absolute developer-home executable paths
r6	tools/keycloak_ingress_live.py	tracked file pins a package integrity digest*	phase-58	Hard-coded library/package SHA values
r5	tools/live_dsl_deploy_gate.py	names generated path DEVELOPMENT_PLAN/evidence*	phase-59	Generated files beneath `DEVELOPMENT_PLAN/evidence/**`
r5	tools/live_dsl_deploy_gate.py	names generated path test/enumeration/*	phase-59	`test/enumeration/**`
r5	tools/live_dsl_deploy_gate.py	names generated path test/golden/*	phase-59	`test/golden/phase_*_ledger.json` and Phase-62 expected-run ledger
r5	tools/live_dsl_deploy_live.py	names generated path DEVELOPMENT_PLAN/evidence*	phase-59	Generated files beneath `DEVELOPMENT_PLAN/evidence/**`
r6	tools/live_dsl_deploy_gate.py	tracked file carries a resolved home path*	phase-59	Absolute developer-home executable paths
r6	tools/live_dsl_deploy_runtime_helper.py	tracked file pins a package integrity digest*	phase-59	Hard-coded library/package SHA values
r6	tools/live_dsl_deploy_live.py	tracked file carries a resolved home path*	phase-59	Absolute developer-home executable paths
r6	tools/live_dsl_deploy_live.py	tracked file pins a package integrity digest*	phase-59	Hard-coded library/package SHA values
